epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,149.643,0.99477,2.69988,1.42805,0.65272,0.35708,0.40661,0.2665,1.14972,1.52448,1.42943,0.00997275,0.00332425,0.00997275,0.00332425,0.00997275,0.00332425,0.00997275,0.00332425
2,294.515,0.94018,1.584,1.36694,0.80377,0.29999,0.3344,0.2067,1.39092,1.96292,1.6884,0.019775,0.00659167,0.019775,0.00659167,0.019775,0.00659167,0.019775,0.00659167
3,443.841,1.00965,1.48377,1.41415,0.58767,0.13587,0.12869,0.06727,2.05138,4.63159,2.43852,0.0293793,0.0097931,0.0293793,0.0097931,0.0293793,0.0097931,0.0293793,0.0097931
4,593.984,1.01723,1.29834,1.42359,0.82565,0.36661,0.40469,0.2596,1.33427,1.57613,1.64487,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,745.618,0.94629,1.12036,1.36816,0.68602,0.43877,0.47422,0.31922,1.27172,1.35402,1.54814,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,896.152,0.90316,1.02355,1.3359,0.73565,0.4783,0.55979,0.38929,1.13211,1.14419,1.46377,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1047.07,0.87295,0.95441,1.31453,0.81213,0.45387,0.55825,0.39571,1.06659,1.15227,1.40215,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1196.2,0.84528,0.90368,1.2967,0.71987,0.53817,0.58256,0.42211,1.01868,1.06067,1.3544,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1348.15,0.82786,0.87601,1.27964,0.80474,0.53587,0.62371,0.45545,1.01967,1.01748,1.35446,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1498.9,0.80942,0.84897,1.26865,0.80101,0.48635,0.58349,0.42622,0.99017,1.03652,1.34464,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1649.12,0.79732,0.81828,1.26117,0.66903,0.58083,0.61627,0.45753,0.96463,0.94422,1.30487,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1797.95,0.78478,0.7971,1.24927,0.83531,0.50043,0.60067,0.4425,0.97193,1.02576,1.30789,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1947.9,0.77327,0.78013,1.23787,0.7162,0.58474,0.63888,0.47239,0.96377,0.92291,1.30777,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2096.58,0.7644,0.76329,1.23137,0.78964,0.59768,0.68042,0.5107,0.93692,0.86618,1.2896,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2247.72,0.75327,0.75022,1.22603,0.76127,0.5812,0.64658,0.48071,0.93299,0.88765,1.28414,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2396.24,0.75112,0.74163,1.22308,0.67646,0.61896,0.66272,0.49353,0.91706,0.8669,1.27914,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2546.35,0.74546,0.72921,1.2189,0.829,0.59486,0.67562,0.50752,0.89133,0.84687,1.25801,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2696.88,0.73425,0.70982,1.21191,0.79263,0.61225,0.68769,0.52711,0.90208,0.82757,1.26559,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2842.51,0.73531,0.71429,1.21229,0.78531,0.62401,0.69241,0.52313,0.88643,0.82921,1.2544,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2989.82,0.72502,0.70292,1.20419,0.80058,0.61776,0.70578,0.53799,0.8697,0.81083,1.23103,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3139.39,0.72229,0.6931,1.20158,0.75819,0.67829,0.7403,0.55545,0.85869,0.7756,1.22493,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3286.48,0.71638,0.68358,1.19878,0.74151,0.67561,0.74324,0.57691,0.84328,0.7527,1.21137,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
