epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,161.319,0.99399,2.68842,1.42019,0.57671,0.39166,0.4158,0.26849,1.30826,1.97498,1.56853,0.00997506,0.00332502,0.00997506,0.00332502,0.00997506,0.00332502,0.00997506,0.00332502
2,322.716,0.96798,1.62158,1.38079,0.56537,0.44941,0.43789,0.26959,1.46352,1.93805,1.74559,0.0197773,0.00659244,0.0197773,0.00659244,0.0197773,0.00659244,0.0197773,0.00659244
3,481.42,1.05146,1.51986,1.44055,0.45133,0.30239,0.27638,0.17012,1.68442,2.84419,2.04085,0.0293816,0.00979385,0.0293816,0.00979385,0.0293816,0.00979385,0.0293816,0.00979385
4,636.577,1.05282,1.36433,1.44981,0.67226,0.47001,0.50619,0.3256,1.47982,2.01206,1.82059,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,796.756,0.9791,1.16601,1.38956,0.69894,0.54446,0.58628,0.40015,1.32903,1.55898,1.61621,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,957.827,0.93485,1.07774,1.35603,0.77059,0.57352,0.60274,0.42889,1.25609,1.55438,1.54151,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1118.29,0.90099,1.00211,1.3295,0.77931,0.6303,0.70702,0.50147,1.19627,1.35267,1.51417,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1277.8,0.87028,0.96318,1.31114,0.78654,0.65189,0.70717,0.52009,1.15502,1.27513,1.45792,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1435.88,0.85305,0.92156,1.29333,0.779,0.6866,0.71054,0.53348,1.12484,1.18529,1.43284,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1595.56,0.8434,0.8991,1.28686,0.74482,0.68888,0.70802,0.53848,1.12005,1.22908,1.41801,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1750.06,0.82871,0.87456,1.27466,0.78005,0.72607,0.74906,0.55608,1.06359,1.12063,1.37296,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1912.08,0.81772,0.85392,1.26679,0.81915,0.67495,0.74144,0.54973,1.09611,1.09879,1.39976,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2066.12,0.81694,0.84435,1.26255,0.81103,0.71672,0.76651,0.58245,1.0462,1.05736,1.35832,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2226.91,0.79454,0.815,1.24653,0.84171,0.71377,0.78437,0.59627,1.04169,1.02767,1.34884,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2385.41,0.78597,0.79741,1.2439,0.82015,0.74539,0.78328,0.59795,1.01117,1.01134,1.32228,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2542.38,0.78395,0.78682,1.23968,0.86409,0.72052,0.77708,0.59528,0.99529,1.01586,1.31366,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2702.08,0.77715,0.7792,1.23454,0.86734,0.71641,0.80219,0.60951,0.99925,0.95809,1.30885,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2855.94,0.76772,0.76274,1.22827,0.82476,0.76734,0.80459,0.61955,0.98356,0.94261,1.29193,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3015.69,0.76824,0.7596,1.22708,0.83919,0.76534,0.81314,0.63538,0.961,0.90805,1.27306,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3174.93,0.76329,0.74988,1.22244,0.88248,0.7512,0.82429,0.63308,0.95323,0.91733,1.2725,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3334,0.75137,0.74213,1.21537,0.86089,0.76942,0.82767,0.64268,0.94725,0.91127,1.2639,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3503.75,0.75209,0.73132,1.21713,0.8441,0.75955,0.80928,0.63595,0.94165,0.92487,1.26235,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3680.27,0.74879,0.72898,1.21095,0.84463,0.75932,0.80515,0.63578,0.9385,0.89256,1.25907,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3856.06,0.74038,0.71772,1.20731,0.88436,0.75287,0.82713,0.65436,0.92765,0.8635,1.24732,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4035.09,0.73798,0.71108,1.20626,0.87715,0.75125,0.82076,0.64969,0.92263,0.85667,1.24718,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4212.44,0.73072,0.70719,1.20173,0.86919,0.7608,0.83217,0.65157,0.91634,0.85823,1.24347,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4385.34,0.72847,0.69811,1.19779,0.83057,0.78813,0.83156,0.65587,0.90936,0.85792,1.24113,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4564.87,0.72579,0.69144,1.19792,0.82376,0.79112,0.83593,0.64964,0.90162,0.82459,1.22951,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4740.94,0.71792,0.68578,1.19169,0.83296,0.8125,0.84642,0.65763,0.90111,0.81825,1.22852,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4917.03,0.71846,0.68152,1.19023,0.82815,0.80526,0.85321,0.66228,0.89977,0.80646,1.22473,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5092.55,0.71912,0.67879,1.18825,0.85823,0.79777,0.84942,0.65668,0.89,0.80592,1.21611,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5265.35,0.71517,0.67787,1.18733,0.82413,0.8164,0.85142,0.66212,0.88424,0.80355,1.21471,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5437.71,0.70754,0.66672,1.18469,0.82624,0.81269,0.85325,0.66732,0.88123,0.79831,1.21353,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5612.49,0.7043,0.6665,1.18207,0.81531,0.80847,0.85082,0.667,0.88011,0.79897,1.21395,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5786.91,0.70286,0.66084,1.18063,0.82792,0.80559,0.84911,0.66879,0.87943,0.79768,1.21329,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5961.23,0.70123,0.65855,1.17898,0.87184,0.78316,0.84983,0.66853,0.87828,0.79168,1.2113,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6135.84,0.70008,0.65436,1.17784,0.87015,0.78666,0.85397,0.67434,0.87837,0.78875,1.21258,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6307.34,0.69653,0.64495,1.17424,0.86257,0.78894,0.85264,0.67015,0.87682,0.78583,1.21056,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6481.65,0.69291,0.64395,1.17133,0.83998,0.80579,0.85283,0.66623,0.87534,0.78428,1.20863,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6654.09,0.69096,0.64236,1.17157,0.82653,0.81932,0.85104,0.66523,0.87409,0.78413,1.20774,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6824.71,0.68444,0.63209,1.16844,0.83243,0.81394,0.84944,0.66499,0.87212,0.77958,1.20586,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6999.24,0.68832,0.6386,1.1695,0.82776,0.82289,0.85279,0.66668,0.87112,0.77804,1.20528,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7170.58,0.6867,0.63322,1.16751,0.82944,0.82181,0.85356,0.66789,0.86952,0.77466,1.20358,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7342.85,0.67655,0.61658,1.16006,0.82465,0.82073,0.85262,0.6686,0.86878,0.77217,1.20303,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7516.07,0.6756,0.61869,1.16134,0.83064,0.81927,0.85487,0.67076,0.86821,0.77138,1.20217,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7687.98,0.67863,0.61883,1.1614,0.83401,0.81805,0.8541,0.67048,0.8673,0.77002,1.20083,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7861.42,0.67815,0.61417,1.16193,0.83824,0.81524,0.85561,0.67211,0.86709,0.7684,1.20071,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8036.07,0.67013,0.61299,1.15832,0.84782,0.80847,0.85705,0.67326,0.86707,0.76753,1.20061,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8211.52,0.66934,0.60614,1.15631,0.85045,0.8062,0.8561,0.676,0.86663,0.76733,1.20038,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8385.34,0.66601,0.60148,1.15375,0.85433,0.80543,0.85614,0.67492,0.86519,0.7655,1.19854,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8561.65,0.66187,0.60182,1.15087,0.85652,0.8045,0.85628,0.67466,0.8646,0.76337,1.19778,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8737.53,0.65823,0.596,1.14718,0.85948,0.80431,0.85615,0.67281,0.86362,0.76211,1.19711,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8911.94,0.65776,0.59195,1.14813,0.87514,0.79895,0.85787,0.67314,0.86258,0.76029,1.19617,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9087.41,0.65866,0.58893,1.14462,0.87664,0.79835,0.85773,0.67411,0.86258,0.76001,1.19615,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9262.38,0.65322,0.5879,1.14616,0.86666,0.80414,0.85846,0.67485,0.86295,0.75875,1.19638,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9436.32,0.65186,0.58484,1.14454,0.87582,0.80263,0.85863,0.67703,0.86186,0.75726,1.19556,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9612.04,0.64821,0.57687,1.14228,0.87831,0.80121,0.85776,0.6746,0.86131,0.7562,1.19511,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9785.91,0.64678,0.57883,1.13971,0.87899,0.80167,0.85866,0.67613,0.8605,0.75433,1.19452,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9961.43,0.64923,0.57479,1.14208,0.87968,0.80132,0.85777,0.67579,0.86058,0.75307,1.19464,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10134.3,0.63964,0.56697,1.13609,0.87981,0.80176,0.85849,0.67652,0.8595,0.75193,1.19393,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10308.4,0.63916,0.5653,1.1355,0.88031,0.80501,0.85873,0.67696,0.85961,0.75042,1.19367,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10483.7,0.63485,0.56145,1.13133,0.88162,0.80575,0.85892,0.6781,0.85922,0.74933,1.19337,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10656.6,0.63699,0.56059,1.13447,0.87866,0.80802,0.8587,0.67995,0.85884,0.74867,1.19304,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10830.7,0.62825,0.55316,1.1283,0.87582,0.81051,0.85901,0.68155,0.85797,0.74757,1.19214,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11004.4,0.62889,0.54856,1.12966,0.87471,0.81487,0.85917,0.68147,0.85754,0.74571,1.19143,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11178.6,0.6247,0.54722,1.1253,0.87672,0.81542,0.85946,0.68227,0.85736,0.74487,1.19118,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11352.1,0.62423,0.54595,1.12696,0.87594,0.81531,0.85982,0.68236,0.85721,0.74377,1.19104,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11528,0.62311,0.54292,1.12495,0.87514,0.81598,0.85983,0.68262,0.85709,0.74273,1.19098,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11701.6,0.62026,0.54086,1.12362,0.87712,0.8156,0.86044,0.68419,0.85637,0.74158,1.1904,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11877.7,0.614,0.53441,1.11921,0.87901,0.81611,0.86105,0.68535,0.8562,0.74006,1.19034,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12051.3,0.61277,0.53699,1.11711,0.88277,0.81366,0.86167,0.68613,0.85618,0.73905,1.19009,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12225.1,0.60969,0.53031,1.11783,0.88173,0.81417,0.86189,0.68499,0.85597,0.73752,1.18989,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12399.3,0.61012,0.52589,1.11707,0.88276,0.81433,0.86069,0.68469,0.85577,0.73608,1.18949,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12573,0.60581,0.52262,1.11102,0.88433,0.81567,0.86089,0.68573,0.85516,0.73543,1.1888,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12747.4,0.60431,0.51991,1.11165,0.88508,0.81551,0.86118,0.68638,0.85509,0.73434,1.18893,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12921.1,0.5993,0.5156,1.10938,0.88616,0.81376,0.86164,0.68686,0.85408,0.73301,1.18829,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13092.8,0.59768,0.51273,1.10918,0.88604,0.81751,0.86201,0.68714,0.85369,0.73221,1.18787,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,13251,0.59163,0.50786,1.10665,0.88669,0.81767,0.86235,0.68713,0.85298,0.73107,1.18751,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,13410.1,0.59755,0.50781,1.10661,0.88503,0.81683,0.86133,0.68493,0.85187,0.73055,1.18641,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,13567.6,0.58703,0.50232,1.10395,0.88534,0.8165,0.86162,0.68524,0.85101,0.72937,1.18536,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13724.1,0.59061,0.49879,1.10362,0.88542,0.8178,0.86225,0.68563,0.84997,0.72832,1.18419,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13881.9,0.58212,0.49657,1.09871,0.88458,0.81774,0.86248,0.68579,0.84906,0.72684,1.18359,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14041.5,0.58241,0.49383,1.09964,0.88552,0.81759,0.86307,0.68618,0.84795,0.7263,1.18231,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,14200.1,0.58318,0.49413,1.0996,0.88374,0.81835,0.86329,0.68633,0.84753,0.72545,1.18185,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,14360.1,0.57469,0.48276,1.09494,0.88347,0.81853,0.86361,0.68707,0.84729,0.72415,1.18145,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,14520.5,0.56905,0.47924,1.09006,0.87988,0.81932,0.86369,0.6866,0.84712,0.72282,1.18114,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14678.4,0.57028,0.47748,1.08982,0.88181,0.81951,0.86456,0.68689,0.84706,0.72187,1.18086,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14834.7,0.56435,0.47548,1.08755,0.88111,0.81846,0.86457,0.68659,0.8468,0.72111,1.18057,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,14992.1,0.56278,0.47158,1.08812,0.88104,0.81864,0.86545,0.68856,0.84684,0.72023,1.18074,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,15152.7,0.56284,0.47252,1.08646,0.88351,0.81718,0.86503,0.68757,0.84705,0.7197,1.18102,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,15427.1,0.54455,0.39999,1.10226,0.8864,0.81696,0.86581,0.68726,0.84677,0.71864,1.18065,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15585.3,0.52997,0.38094,1.08691,0.88575,0.81787,0.86623,0.68808,0.84616,0.71775,1.18011,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15745.6,0.52141,0.37509,1.08198,0.88805,0.81775,0.86665,0.69109,0.84566,0.71717,1.17958,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,15905.8,0.51543,0.36682,1.07796,0.88404,0.81954,0.86651,0.6936,0.84473,0.71545,1.17871,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,16065,0.5045,0.35755,1.07031,0.88314,0.8206,0.86636,0.69531,0.84372,0.71505,1.1781,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,16223.9,0.50063,0.35262,1.06688,0.88382,0.82137,0.86642,0.69493,0.84293,0.7143,1.17756,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16383.3,0.49526,0.34898,1.06237,0.88495,0.82048,0.86669,0.69658,0.84273,0.71342,1.17757,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16541.6,0.48941,0.34467,1.05693,0.88693,0.81999,0.86794,0.69775,0.84236,0.71343,1.17736,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16699.8,0.48524,0.33876,1.05428,0.88733,0.82141,0.8686,0.69801,0.84204,0.7127,1.17734,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16864.8,0.48135,0.33643,1.05174,0.88693,0.82084,0.86913,0.6989,0.84167,0.71158,1.17747,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
