epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4756.03,0.69622,0.63783,1.17878,0.84865,0.81185,0.87681,0.70385,0.83962,0.67139,1.19549,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4904.87,0.69146,0.63423,1.1794,0.83551,0.84961,0.87366,0.70513,0.83833,0.6606,1.19239,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5053.74,0.68591,0.62315,1.17569,0.82553,0.8657,0.8767,0.70635,0.83379,0.65586,1.18997,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5199.83,0.6873,0.62728,1.17724,0.83898,0.84717,0.87325,0.70753,0.83477,0.65544,1.19283,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5346.3,0.67652,0.61538,1.17103,0.8471,0.84734,0.88104,0.71611,0.83096,0.64667,1.18771,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5494.11,0.67697,0.61373,1.17182,0.84531,0.84068,0.88147,0.71445,0.82424,0.63847,1.18273,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5643.02,0.67474,0.60998,1.16838,0.8515,0.84791,0.88323,0.71421,0.8187,0.63882,1.17888,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5792.17,0.6709,0.60525,1.16459,0.84144,0.86437,0.88743,0.7169,0.81848,0.63341,1.17692,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5937.22,0.67324,0.60455,1.16946,0.85575,0.85003,0.8906,0.71888,0.81806,0.63416,1.17713,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6086.9,0.6659,0.59803,1.1625,0.83084,0.87505,0.8889,0.71875,0.81325,0.6327,1.17302,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6234.62,0.664,0.59007,1.162,0.84443,0.86289,0.88999,0.72028,0.81099,0.63059,1.17028,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6382.42,0.66536,0.59362,1.16248,0.84016,0.86663,0.89094,0.71991,0.8113,0.62842,1.17059,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6530.52,0.65741,0.58694,1.15844,0.86625,0.85848,0.89704,0.7235,0.81109,0.62618,1.17114,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6679.95,0.6628,0.58568,1.15934,0.88062,0.86157,0.9021,0.7259,0.81028,0.6232,1.17085,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6829.72,0.65696,0.5814,1.15574,0.88983,0.85677,0.90397,0.72617,0.81066,0.61952,1.17154,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6978.33,0.65648,0.57874,1.15674,0.87354,0.85085,0.90223,0.72631,0.81001,0.61757,1.17151,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7132.2,0.65403,0.57447,1.15317,0.85276,0.87194,0.90123,0.72686,0.80827,0.61658,1.17026,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7294.49,0.64599,0.56942,1.14795,0.86303,0.86761,0.89932,0.72565,0.80678,0.6167,1.16912,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7456.29,0.64153,0.5655,1.14784,0.86224,0.87587,0.90152,0.72616,0.80637,0.61556,1.16941,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7617.74,0.64171,0.55961,1.1479,0.86236,0.87863,0.89918,0.72556,0.806,0.6133,1.1694,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7780.37,0.64203,0.55996,1.14814,0.87014,0.86982,0.89945,0.72647,0.80419,0.61273,1.16804,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7941.36,0.63618,0.5554,1.14324,0.87174,0.87239,0.89956,0.72717,0.80388,0.61218,1.16686,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8104.93,0.63759,0.55335,1.1425,0.87067,0.87285,0.89722,0.72731,0.80379,0.61089,1.16679,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8269.75,0.63954,0.55305,1.14185,0.87154,0.87474,0.89983,0.72759,0.8039,0.60946,1.16665,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8433.94,0.63012,0.54491,1.13653,0.86095,0.88353,0.89764,0.72637,0.80361,0.60838,1.16646,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8584.97,0.62469,0.54426,1.1352,0.86264,0.87597,0.89913,0.72707,0.8024,0.60808,1.16548,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8731.46,0.62599,0.53967,1.13414,0.86258,0.87598,0.90108,0.72802,0.8013,0.60691,1.16451,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8880.15,0.62294,0.53488,1.13364,0.86618,0.87891,0.90301,0.72896,0.80047,0.60602,1.16336,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9027.95,0.62133,0.53724,1.13161,0.86512,0.88285,0.90306,0.72934,0.79979,0.60523,1.16275,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9175.44,0.61541,0.53103,1.12933,0.87057,0.87605,0.90371,0.72942,0.79934,0.60428,1.16259,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9323.72,0.61425,0.52665,1.12681,0.87384,0.87589,0.90431,0.73004,0.79835,0.60335,1.16217,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9471.58,0.61565,0.5244,1.12812,0.87251,0.87753,0.90441,0.72981,0.79829,0.60272,1.16219,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9621.1,0.6156,0.52465,1.12681,0.86416,0.87731,0.90406,0.73033,0.79739,0.6016,1.1618,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9768.48,0.60957,0.51351,1.123,0.86435,0.88085,0.90402,0.73078,0.79666,0.60039,1.16129,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9916.28,0.60671,0.51553,1.12312,0.86329,0.88255,0.90433,0.72936,0.79679,0.59853,1.16092,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10065.2,0.60471,0.51189,1.11914,0.86811,0.8667,0.90457,0.73131,0.79608,0.59596,1.1601,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10215.2,0.59882,0.50718,1.11798,0.86804,0.86955,0.90483,0.73231,0.79502,0.59489,1.15946,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10362.9,0.59434,0.50227,1.1149,0.86192,0.87822,0.90622,0.73342,0.7945,0.59346,1.15904,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10552.7,0.599,0.50383,1.11477,0.86217,0.878,0.90646,0.73264,0.79392,0.59227,1.15816,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
